title,author,length
Empire of Storms,Dante King,Length: 8 hrs and 49 mins
Pack Light,Dante King,Length: 8 hrs and 49 mins
Rhythm of War,Dante King,Length: 8 hrs and 49 mins
The Dressmaker's Dowry,Dante King,Length: 8 hrs and 49 mins
Goblin Girl Maid Service Omnibus,Dante King,Length: 8 hrs and 49 mins
He Who Fights with Monsters: A LitRPG Adventure,Dante King,Length: 8 hrs and 49 mins
The Duke and I,Dante King,Length: 8 hrs and 49 mins
The Wise Man's Fear,Dante King,Length: 8 hrs and 49 mins
The Summer Pact,Dante King,Length: 8 hrs and 49 mins
Cultured,Dante King,Length: 8 hrs and 49 mins
The Dark Forest,Dante King,Length: 8 hrs and 49 mins
Fairy Tale,Dante King,Length: 8 hrs and 49 mins
Maxwell's Demon,Dante King,Length: 8 hrs and 49 mins
The Dungeon Anarchist's Cookbook,Dante King,Length: 8 hrs and 49 mins
Pliable Truths,Dayton Ward,Length: 11 hrs
Till Death,Dayton Ward,Length: 11 hrs
Confessions of an Innocent Man,Dayton Ward,Length: 11 hrs
Team,Dayton Ward,Length: 11 hrs
Ruthlessly His: A Dark Billionaire Contemporary Romance,Dayton Ward,Length: 11 hrs
Iron Fist: Star Wars Legends (X-Wing),Dayton Ward,Length: 11 hrs
Kingdom of Ash,Dayton Ward,Length: 11 hrs
Heir of Fire,Dayton Ward,Length: 11 hrs
Maybe This Time,Dayton Ward,Length: 11 hrs
Skies over Caledonia,Dayton Ward,Length: 11 hrs
The Teacher,Dayton Ward,Length: 11 hrs
The One I Left Behind,Dayton Ward,Length: 11 hrs
The Fallen One,Dayton Ward,Length: 11 hrs
The Secret Language of the Body,Dayton Ward,Length: 11 hrs
A Court of Wings and Ruin (Part 3 of 3) (Dramatized Adaptation),Dayton Ward,Length: 11 hrs
Behind Closed Doors,Dayton Ward,Length: 11 hrs
"The Silencer Series Box Set, Books 17-20",Dayton Ward,Length: 11 hrs
Blood of Ancients,Dayton Ward,Length: 11 hrs
48 Laws of Power,Dayton Ward,Length: 11 hrs
Deadfall,Dayton Ward,Length: 11 hrs
Crimson Skies,Jaymin Eve,Length: 10 hrs and 10 mins
Sentinel,Jaymin Eve,Length: 10 hrs and 10 mins
Morning Star,Jaymin Eve,Length: 10 hrs and 10 mins
Twisted Love,Jaymin Eve,Length: 10 hrs and 10 mins
Volatile,Jaymin Eve,Length: 10 hrs and 10 mins
Permission Granted,Jaymin Eve,Length: 10 hrs and 10 mins
Countdown,Jaymin Eve,Length: 10 hrs and 10 mins
Path of the Berserker 2: A Daopocalypse Progression Fantasy,Jaymin Eve,Length: 10 hrs and 10 mins
Close Quarters,Jaymin Eve,Length: 10 hrs and 10 mins
Privilege,Jaymin Eve,Length: 10 hrs and 10 mins
Lies I Taught in Medical School,Jaymin Eve,Length: 10 hrs and 10 mins
The Girl Who Was Taken,Jaymin Eve,Length: 10 hrs and 10 mins
This Could Be Us,Jaymin Eve,Length: 10 hrs and 10 mins
A Sliver of Darkness,Jaymin Eve,Length: 10 hrs and 10 mins
Season of Wrath,Jaymin Eve,Length: 10 hrs and 10 mins
My Darcy,Jaymin Eve,Length: 10 hrs and 10 mins
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Jaymin Eve,Length: 10 hrs and 10 mins
How to Get Unstuck,Jaymin Eve,Length: 10 hrs and 10 mins
Aeons,Jaymin Eve,Length: 10 hrs and 10 mins
Warring Insanity,Jaymin Eve,Length: 10 hrs and 10 mins
No Man's Land,Simon Tolkien,Length: 19 hrs and 13 mins
Dead Meat,Simon Tolkien,Length: 19 hrs and 13 mins
The Baby Plan,Simon Tolkien,Length: 19 hrs and 13 mins
License to Parent,Simon Tolkien,Length: 19 hrs and 13 mins
We Can Only Save Ourselves,Simon Tolkien,Length: 19 hrs and 13 mins
The Mask Falling,Simon Tolkien,Length: 19 hrs and 13 mins
How to Talk to Anyone,Simon Tolkien,Length: 19 hrs and 13 mins
Fall with Me,Simon Tolkien,Length: 19 hrs and 13 mins
"Days of Want Series, Books 1-7",Simon Tolkien,Length: 19 hrs and 13 mins
The Client List,Simon Tolkien,Length: 19 hrs and 13 mins
Wicked Truths,Simon Tolkien,Length: 19 hrs and 13 mins
The Kidnapping of Edgardo Mortara,Simon Tolkien,Length: 19 hrs and 13 mins
He Who Fights with Monsters 4,Simon Tolkien,Length: 19 hrs and 13 mins
The Crown of Gilded Bones,Simon Tolkien,Length: 19 hrs and 13 mins
Secrets of a Fruitful Heart,Simon Tolkien,Length: 19 hrs and 13 mins
101 Essays That Will Change the Way You Think,Simon Tolkien,Length: 19 hrs and 13 mins
The Immortals of Tehran,Simon Tolkien,Length: 19 hrs and 13 mins
Light Bringer,Simon Tolkien,Length: 19 hrs and 13 mins
The 99 Boyfriends of Micah Summers,Simon Tolkien,Length: 19 hrs and 13 mins
Restless Stars,Simon Tolkien,Length: 19 hrs and 13 mins
The Chaos Agent,Mark Greaney,Length: 17 hrs and 34 mins
The 24th Hour,Mark Greaney,Length: 17 hrs and 34 mins
The Well of Ascension,Mark Greaney,Length: 17 hrs and 34 mins
The Rise and Fall of the Third Reich,Mark Greaney,Length: 17 hrs and 34 mins
The Cleopatras,Mark Greaney,Length: 17 hrs and 34 mins
Goddess of the River,Mark Greaney,Length: 17 hrs and 34 mins
The Surrogate,Mark Greaney,Length: 17 hrs and 34 mins
A Kingdom of Flesh and Fire,Mark Greaney,Length: 17 hrs and 34 mins
An Amish Family,Mark Greaney,Length: 17 hrs and 34 mins
Live Happy,Mark Greaney,Length: 17 hrs and 34 mins
Healing Your Inner Child,Mark Greaney,Length: 17 hrs and 34 mins
Unclutter Your Soul,Mark Greaney,Length: 17 hrs and 34 mins
"Chrysalis, Books 1-3",Mark Greaney,Length: 17 hrs and 34 mins
Here for the Wrong Reasons,Mark Greaney,Length: 17 hrs and 34 mins
Tower of Dawn,Mark Greaney,Length: 17 hrs and 34 mins
Heretics of Dune,Mark Greaney,Length: 17 hrs and 34 mins
Truth Truth Lie,Mark Greaney,Length: 17 hrs and 34 mins
When I Had You,Mark Greaney,Length: 17 hrs and 34 mins
Rune Seeker 3,Mark Greaney,Length: 17 hrs and 34 mins
Crowne Brothers Collection,Mark Greaney,Length: 17 hrs and 34 mins
Golden Son,Pierce Brown,Length: 19 hrs and 3 mins
Lucky,Pierce Brown,Length: 19 hrs and 3 mins
Becoming Supernatural,Pierce Brown,Length: 19 hrs and 3 mins
Carl's Doomsday Scenario,Pierce Brown,Length: 19 hrs and 3 mins
The Day I Died,Pierce Brown,Length: 19 hrs and 3 mins
NCMHCE Exam Prep,Pierce Brown,Length: 19 hrs and 3 mins
The Wanted,Pierce Brown,Length: 19 hrs and 3 mins
The Last Girls Standing,Pierce Brown,Length: 19 hrs and 3 mins
Divine Core,Pierce Brown,Length: 19 hrs and 3 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",Pierce Brown,Length: 19 hrs and 3 mins
"Harry Potter and the Half-Blood Prince, Book 6",Pierce Brown,Length: 19 hrs and 3 mins
The Path of Ascension 5,Pierce Brown,Length: 19 hrs and 3 mins
The Roommate Risk,Pierce Brown,Length: 19 hrs and 3 mins
Devourer,Pierce Brown,Length: 19 hrs and 3 mins
The Path of Ascension: Books 1-3.5,Pierce Brown,Length: 19 hrs and 3 mins
The City and Its Uncertain Walls,Pierce Brown,Length: 19 hrs and 3 mins
Diver's Heart,Pierce Brown,Length: 19 hrs and 3 mins
Romancing Mister Bridgerton,Pierce Brown,Length: 19 hrs and 3 mins
The Bird's Nest,Pierce Brown,Length: 19 hrs and 3 mins
Dragonfly in Amber,Pierce Brown,Length: 19 hrs and 3 mins
Golden Son,Pierce Brown,Length: 19 hrs and 3 mins
Lucky,Pierce Brown,Length: 19 hrs and 3 mins
Becoming Supernatural,Pierce Brown,Length: 19 hrs and 3 mins
Carl's Doomsday Scenario,Pierce Brown,Length: 19 hrs and 3 mins
The Day I Died,Pierce Brown,Length: 19 hrs and 3 mins
NCMHCE Exam Prep,Pierce Brown,Length: 19 hrs and 3 mins
The Wanted,Pierce Brown,Length: 19 hrs and 3 mins
The Last Girls Standing,Pierce Brown,Length: 19 hrs and 3 mins
Divine Core,Pierce Brown,Length: 19 hrs and 3 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",Pierce Brown,Length: 19 hrs and 3 mins
"Harry Potter and the Half-Blood Prince, Book 6",Pierce Brown,Length: 19 hrs and 3 mins
The Path of Ascension 5,Pierce Brown,Length: 19 hrs and 3 mins
The Roommate Risk,Pierce Brown,Length: 19 hrs and 3 mins
Devourer,Pierce Brown,Length: 19 hrs and 3 mins
The Path of Ascension: Books 1-3.5,Pierce Brown,Length: 19 hrs and 3 mins
The City and Its Uncertain Walls,Pierce Brown,Length: 19 hrs and 3 mins
Diver's Heart,Pierce Brown,Length: 19 hrs and 3 mins
Romancing Mister Bridgerton,Pierce Brown,Length: 19 hrs and 3 mins
The Bird's Nest,Pierce Brown,Length: 19 hrs and 3 mins
Dragonfly in Amber,Pierce Brown,Length: 19 hrs and 3 mins
